price,bathrooms,bedrooms,parking,type,street,suburb,postcode,latitude,longitude,school,furnished,SA2_code,CBD_distance,CBD_duration_time
480.0,1,4,2,House,9A Andersons Avenue,WARBURTON,3799.0,-37.74733,145.70297,"Warburton Primary School0.9 km awayPrep-6CoEdGovernmentView Catchment,Upper Yarra Secondary College8.6 km away7-12CoEdGovernmentView Catchment",False,211051286.0,77687.3,5554.5
580.0,2,3,2,House,2 Cristata Avenue,ENDEAVOUR HILLS,3802.0,-37.96783,145.2405,"Chalcot Lodge Primary School0.7 km awayPrep-6CoEdGovernmentView Catchment,Doveton College2.4 km awayU, Prep-9CoEdGovernmentView Catchment,Dandenong High School3.1 km away7-12CoEdGovernmentView Catchment",False,212021453.0,34754.0,2081.7
540.0,1,3,2,House,66 John Fawkner Drive,ENDEAVOUR HILLS,3802.0,-37.98137,145.26785,"Thomas Mitchell Primary School0.6 km awayPrep-6CoEdGovernmentView Catchment,Gleneagles Secondary College1.1 km away7-12CoEdGovernmentView Catchment,Southern Autistic School19.1 km awayUCoEdGovernmentView Catchment",False,212021454.0,36752.5,2170.1
540.0,1,3,2,House,6 Castlecrag Close,ENDEAVOUR HILLS,3802.0,-37.97445,145.26337,"Mossgiel Park Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,Gleneagles Secondary College1.1 km away7-12CoEdGovernmentView Catchment,Southern Autistic School18.5 km awayUCoEdGovernmentView Catchment",False,212021453.0,35825.5,2173.6
900.0,3,4,2,Townhouse,1B Baileyana Drive,ENDEAVOUR HILLS,3802.0,-37.966393,145.2382,"Chalcot Lodge Primary School0.9 km awayPrep-6CoEdGovernmentView Catchment,Doveton College2.6 km awayU, Prep-9CoEdGovernmentView Catchment,Lyndale Secondary College2.9 km away7-12CoEdGovernmentView Catchment",False,212021453.0,34645.8,2054.3
800.0,3,5,2,House,3 Matthew Retreat,ENDEAVOUR HILLS,3802.0,-37.974007,145.2715,"Gleneagles Secondary College0.4 km away7-12CoEdGovernmentView Catchment,Mossgiel Park Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,Southern Autistic School19.1 km awayUCoEdGovernmentView Catchment",False,212021453.0,36578.5,2176.8
640.0,2,4,2,House,5 Simmonds Place,ENDEAVOUR HILLS,3802.0,-37.979656,145.248,"James Cook Primary School0.2 km awayPrep-6CoEdGovernmentView Catchment,Doveton College1.2 km awayU, Prep-9CoEdGovernmentView Catchment,Gleneagles Secondary College2.6 km away7-12CoEdGovernmentView Catchment",False,212021454.0,35074.2,2107.5
600.0,2,4,2,House,10 Furlong Court,ENDEAVOUR HILLS,3802.0,-37.96843,145.27312,"Mossgiel Park Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Gleneagles Secondary College0.7 km away7-12CoEdGovernmentView Catchment,Southern Autistic School19.1 km awayUCoEdGovernmentView Catchment",False,212021453.0,37001.1,2262.2
585.0,1,3,1,House,28 Scotsburn Way,ENDEAVOUR HILLS,3802.0,-37.973286,145.26414,"Mossgiel Park Primary School0.7 km awayPrep-6CoEdGovernmentView Catchment,Gleneagles Secondary College1.1 km away7-12CoEdGovernmentView Catchment,Southern Autistic School18.5 km awayUCoEdGovernmentView Catchment",False,212021453.0,35738.3,2141.5
560.0,1,3,2,House,21 Bittern Drive,ENDEAVOUR HILLS,3802.0,-37.975964,145.24423,"James Cook Primary School0.4 km awayPrep-6CoEdGovernmentView Catchment,Doveton College1.5 km awayU, Prep-9CoEdGovernmentView Catchment,Gleneagles Secondary College2.8 km away7-12CoEdGovernmentView Catchment",False,212021454.0,34230.9,2022.3
5502390.0,2,4,2,House,8 Thomas Mitchell Drive,ENDEAVOUR HILLS,3802.0,-37.984543,145.2676,"Southern Cross Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Gleneagles Secondary College1.4 km away7-12CoEdGovernmentView Catchment,Southern Autistic School19.2 km awayUCoEdGovernmentView Catchment",False,212021454.0,37213.1,2215.2
520.0,1,3,1,Apartment / Unit / Flat,1/48 Arthur Phillip Drive,ENDEAVOUR HILLS,3802.0,-37.992287,145.26018,"Southern Cross Primary School0.6 km awayPrep-6CoEdGovernmentView Catchment,Hallam Secondary College0.9 km away7-12CoEdGovernmentView Catchment,Gleneagles Secondary College2.4 km away7-12CoEdGovernmentView Catchment",False,212021454.0,38442.9,2430.0
490.0,2,3,1,House,3 Douglas Rise,ENDEAVOUR HILLS,3802.0,-37.964252,145.2705,"Mossgiel Park Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Gleneagles Secondary College1.2 km away7-12CoEdGovernmentView Catchment,Southern Autistic School18.8 km awayUCoEdGovernmentView Catchment",False,212021453.0,37301.1,2291.6
650.0,2,4,1,Townhouse,2/43 Endeavour Crescent,ENDEAVOUR HILLS,3802.0,-37.975327,145.25688,"Chalcot Lodge Primary School1 km awayPrep-6CoEdGovernmentView Catchment,Gleneagles Secondary College1.7 km away7-12CoEdGovernmentView Catchment,Southern Autistic School18 km awayUCoEdGovernmentView Catchment",False,212021454.0,35338.2,2105.8
590.0,2,4,3,House,10 Montague Court,ENDEAVOUR HILLS,3802.0,-37.985825,145.27592,"Thomas Mitchell Primary School0.7 km awayPrep-6CoEdGovernmentView Catchment,Gleneagles Secondary College1.3 km away7-12CoEdGovernmentView Catchment,Southern Autistic School19.9 km awayUCoEdGovernmentView Catchment",False,212021454.0,39226.6,2251.6
5402346.0,1,3,2,House,260 James Cook Drive,ENDEAVOUR HILLS,3802.0,-37.987743,145.26291,"Southern Cross Primary School0.1 km awayPrep-6CoEdGovernmentView Catchment,Hallam Secondary College1.4 km away7-12CoEdGovernmentView Catchment,Gleneagles Secondary College1.9 km away7-12CoEdGovernmentView Catchment",False,212021454.0,37685.2,2270.9
5202260.0,1,3,1,Apartment / Unit / Flat,58/5 Piney Ridge,ENDEAVOUR HILLS,3802.0,-37.976536,145.26312,"Mossgiel Park Primary School1 km awayPrep-6CoEdGovernmentView Catchment,Gleneagles Secondary College1.2 km away7-12CoEdGovernmentView Catchment,Southern Autistic School18.5 km awayUCoEdGovernmentView Catchment",False,212021454.0,36620.1,2268.2
5002172.0,1,4,2,House,1 Glencaple Court,ENDEAVOUR HILLS,3802.0,-37.95959,145.26498,"Mossgiel Park Primary School1 km awayPrep-6CoEdGovernmentView Catchment,Gleneagles Secondary College1.9 km away7-12CoEdGovernmentView Catchment,Southern Autistic School18.2 km awayUCoEdGovernmentView Catchment",False,212021453.0,37028.2,2327.5
495.0,1,3,2,House,8 Cassia Court,ENDEAVOUR HILLS,3802.0,-37.967995,145.243,"Chalcot Lodge Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Doveton College2.4 km awayU, Prep-9CoEdGovernmentView Catchment,Gleneagles Secondary College3 km away7-12CoEdGovernmentView Catchment",False,212021453.0,34205.7,2008.3
500.0,1,2,1,Townhouse,3/194 Princes Highway,HALLAM,3803.0,-38.00514,145.26892,"Hallam Secondary College0.8 km away7-12CoEdGovernmentView Catchment,Hallam Primary School1 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College2.3 km away7-12CoEdGovernmentView Catchment",False,212021297.0,38967.6,2211.3
1250.0,3,6,12,House,75 & 75A Belgrave Hallam Road,HALLAM,3803.0,-37.996098,145.27501,"Hallam Secondary College1.2 km away7-12CoEdGovernmentView Catchment,Southern Cross Primary School1.3 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College2.1 km away7-12CoEdGovernmentView Catchment",False,212021299.0,38231.7,2138.5
690.0,2,3,1,House,2/66 Frawley Road,HALLAM,3803.0,-37.99954,145.2574,"Hallam Primary School0.3 km awayPrep-6CoEdGovernmentView Catchment,Hallam Secondary College0.5 km away7-12CoEdGovernmentView Catchment,Gleneagles Secondary College3.3 km away7-12CoEdGovernmentView Catchment",False,212021297.0,38261.4,2157.9
520.0,1,3,1,House,56 Charles Avenue,HALLAM,3803.0,-37.9975,145.25711,"Hallam Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Hallam Secondary College0.6 km away7-12CoEdGovernmentView Catchment,Gleneagles Secondary College3.1 km away7-12CoEdGovernmentView Catchment",False,212021297.0,38520.2,2183.4
500.0,1,2,1,Apartment / Unit / Flat,15/43-45 Belgrave- Hallam Road,HALLAM,3803.0,-38.000217,145.2724,"Hallam Secondary College0.8 km away7-12CoEdGovernmentView Catchment,Hallam Primary School1.3 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College2.1 km away7-12CoEdGovernmentView Catchment",False,212021297.0,38102.6,2118.7
600.0,2,3,1,Townhouse,7 Billal Lane,HALLAM,3803.0,-38.001198,145.27623,"Hallam Secondary College1.2 km away7-12CoEdGovernmentView Catchment,Hallam Primary School1.6 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College1.7 km away7-12CoEdGovernmentView Catchment",False,212021297.0,38338.5,2149.9
540.0,2,3,2,House,67 Hinrichsen Drive,HALLAM,3803.0,-38.016525,145.2781,"Fountain Gate Primary School1.7 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College1.9 km away7-12CoEdGovernmentView Catchment,Nepean Special School16.5 km awayUCoEdGovernmentView Catchment",False,212021297.0,40013.9,2312.6
350.0,1,1,1,Apartment / Unit / Flat,2 Albert Road,HALLAM,3803.0,-38.003216,145.26205,"Hallam Secondary College0.3 km away7-12CoEdGovernmentView Catchment,Hallam Primary School0.4 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College2.9 km away7-12CoEdGovernmentView Catchment",False,212021297.0,38209.2,2220.8
700.0,2,4,2,House,124 A'beckett Road,NARRE WARREN NORTH,3804.0,-37.980408,145.33469,"Narre Warren North Primary School1.6 km awayPrep-6CoEdGovernmentView Catchment,Timbarra P-9 College4 km awayPrep-9CoEdGovernmentView Catchment,Fountain Gate Secondary College4.5 km away7-12CoEdGovernmentView Catchment",False,212021299.0,42039.7,2539.4
700.0,2,4,2,House,17 Avenview Drive,NARRE WARREN NORTH,3804.0,-37.99796,145.28174,"Fountain Gate Secondary College1.5 km away7-12CoEdGovernmentView Catchment,Fountain Gate Primary School1.7 km awayPrep-6CoEdGovernmentView Catchment,Southern Autistic School20.9 km awayUCoEdGovernmentView Catchment",False,212021299.0,41801.3,2540.3
870.0,2,4,4,House,46-52 Brundrett Road,NARRE WARREN NORTH,3804.0,-37.994965,145.32083,"Oatlands Primary School1.3 km awayPrep-6CoEdGovernmentView Catchment,Timbarra P-9 College2.3 km awayPrep-9CoEdGovernmentView Catchment,Fountain Gate Secondary College2.6 km away7-12CoEdGovernmentView Catchment",False,212021299.0,42879.5,2427.8
650.0,3,4,2,House,34 Billy Buttons Drive,NARRE WARREN,3805.0,-38.021557,145.2894,"Fountain Gate Primary School1.4 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College1.8 km away7-12CoEdGovernmentView Catchment,Nepean Special School16.9 km awayUCoEdGovernmentView Catchment",False,212021456.0,44547.3,2629.6
470.0,1,2,1,Apartment / Unit / Flat,2/33 Amber Crescent,NARRE WARREN,3805.0,-38.000687,145.31697,"Oatlands Primary School0.6 km awayPrep-6CoEdGovernmentView Catchment,Timbarra P-9 College1.7 km awayPrep-9CoEdGovernmentView Catchment,Fountain Gate Secondary College2 km away7-12CoEdGovernmentView Catchment",False,212021455.0,42614.4,2418.2
450.0,1,3,1,Apartment / Unit / Flat,3/35 Valley Fair Drive,NARRE WARREN,3805.0,-38.025585,145.30038,"Fountain Gate Primary School1.9 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College2.2 km away7-12CoEdGovernmentView Catchment,Timbarra P-9 College2.2 km awayPrep-9CoEdGovernmentView Catchment",False,212021456.0,43064.7,2447.3
640.0,2,4,2,House,5 Ellenvale Drive,NARRE WARREN,3805.0,-38.001923,145.31726,"Oatlands Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Timbarra P-9 College1.6 km awayPrep-9CoEdGovernmentView Catchment,Fountain Gate Secondary College2 km away7-12CoEdGovernmentView Catchment",False,212021455.0,42672.2,2419.2
620.0,2,4,2,House,72 Saxonwood Drive,NARRE WARREN,3805.0,-38.035004,145.31407,"Fleetwood Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Timbarra P-9 College2.3 km awayPrep-9CoEdGovernmentView Catchment,Narre Warren South P-12 College3 km awayPrep-12CoEdGovernmentView Catchment",False,212021456.0,44083.7,2490.4
600.0,2,4,2,House,21 New England Way,NARRE WARREN,3805.0,-38.007328,145.32062,"Oatlands Primary School0.4 km awayPrep-6CoEdGovernmentView Catchment,Timbarra P-9 College0.9 km awayPrep-9CoEdGovernmentView Catchment,Fountain Gate Secondary College2.2 km away7-12CoEdGovernmentView Catchment",False,212021455.0,43886.6,2490.3
560.0,1,3,3,House,1 Broadacres Court,NARRE WARREN,3805.0,-38.015007,145.29941,"Fountain Gate Primary School0.7 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College1 km away7-12CoEdGovernmentView Catchment,Nepean Special School18 km awayUCoEdGovernmentView Catchment",False,212021456.0,42018.8,2491.9
560.0,2,3,0,House,54 Barondi Avenue,NARRE WARREN,3805.0,-38.006344,145.30022,"Maramba Primary School0.4 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College0.4 km away7-12CoEdGovernmentView Catchment,Southern Autistic School22.7 km awayUCoEdGovernmentView Catchment",False,212021455.0,40794.2,2308.1
550.0,1,3,2,House,31 Meadow Wood Walk,NARRE WARREN,3805.0,-38.023468,145.30019,"Fountain Gate Primary School1.6 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College2 km away7-12CoEdGovernmentView Catchment,Nepean Special School17.5 km awayUCoEdGovernmentView Catchment",False,212021456.0,42321.9,2436.7
530.0,1,3,2,House,12 Westleigh Crescent,NARRE WARREN,3805.0,-38.01436,145.29704,"Fountain Gate Primary School0.6 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College0.9 km away7-12CoEdGovernmentView Catchment,Nepean Special School17.9 km awayUCoEdGovernmentView Catchment",False,212021456.0,41465.6,2451.1
475.0,1,3,1,Townhouse,9/302 Golf Links Road,NARRE WARREN,3805.0,-38.041737,145.3053,"Fleetwood Primary School1.1 km awayPrep-6CoEdGovernmentView Catchment,Narre Warren South P-12 College1.9 km awayPrep-12CoEdGovernmentView Catchment,Nepean Special School16.7 km awayUCoEdGovernmentView Catchment",False,212021456.0,44419.4,2505.1
500.0,1,2,1,Apartment / Unit / Flat,1/1 Buckingham Close,NARRE WARREN,3805.0,-38.005547,145.31927,"Oatlands Primary School0.3 km awayPrep-6CoEdGovernmentView Catchment,Timbarra P-9 College1.2 km awayPrep-9CoEdGovernmentView Catchment,Fountain Gate Secondary College2.1 km away7-12CoEdGovernmentView Catchment",False,212021455.0,43875.4,2487.7
700.0,2,5,4,House,52 Sweet Gum Avenue,NARRE WARREN,3805.0,-38.010586,145.297,"Fountain Gate Primary School0.2 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College0.5 km away7-12CoEdGovernmentView Catchment,Nepean Special School18.2 km awayUCoEdGovernmentView Catchment",False,212021456.0,40781.6,2360.2
650.0,2,2,1,Townhouse,8 Kopje Place,NARRE WARREN,3805.0,-38.00809,145.29399,"Fountain Gate Primary School0.2 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College0.2 km away7-12CoEdGovernmentView Catchment,Nepean Special School18.2 km awayUCoEdGovernmentView Catchment",False,212021456.0,40346.9,2270.1
600.0,2,3,2,House,31 Wallowa Crescent,NARRE WARREN,3805.0,-38.00782,145.29727,"Fountain Gate Secondary College0.3 km away7-12CoEdGovernmentView Catchment,Fountain Gate Primary School0.3 km awayPrep-6CoEdGovernmentView Catchment,Nepean Special School18.4 km awayUCoEdGovernmentView Catchment",False,212021456.0,40511.9,2295.5
560.0,2,3,0,House,503 Princes Highway,NARRE WARREN,3805.0,-38.02723,145.30923,"Fleetwood Primary School1.5 km awayPrep-6CoEdGovernmentView Catchment,Timbarra P-9 College1.7 km awayPrep-9CoEdGovernmentView Catchment,Fountain Gate Secondary College2.6 km away7-12CoEdGovernmentView Catchment",False,212021456.0,44094.7,2433.4
550.0,2,3,1,House,8 Juncus Street,NARRE WARREN,3805.0,-38.02201,145.29088,"Fountain Gate Primary School1.4 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College1.8 km away7-12CoEdGovernmentView Catchment,Nepean Special School16.9 km awayUCoEdGovernmentView Catchment",False,212021456.0,44443.1,2604.6
530.0,2,3,1,Townhouse,1/51 Franleigh Drive,NARRE WARREN,3805.0,-38.00782,145.304,"Maramba Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Fountain Gate Secondary College0.8 km away7-12CoEdGovernmentView Catchment,Southern Autistic School23.1 km awayUCoEdGovernmentView Catchment",False,212021455.0,41441.4,2365.8
530.0,1,3,2,House,97 Darling Way,NARRE WARREN,3805.0,-38.039093,145.32095,"Fleetwood Primary School0.3 km awayPrep-6CoEdGovernmentView Catchment,Timbarra P-9 College2.6 km awayPrep-9CoEdGovernmentView Catchment,Kambrya College2.8 km away7-12CoEdGovernmentView Catchment",False,212021456.0,45205.8,2580.2
500.0,1,3,2,House,11 Shrives Road,NARRE WARREN,3805.0,-38.028328,145.30194,"Fleetwood Primary School1.8 km awayPrep-6CoEdGovernmentView Catchment,Timbarra P-9 College2.3 km awayPrep-9CoEdGovernmentView Catchment,Fountain Gate Secondary College2.5 km away7-12CoEdGovernmentView Catchment",False,212021456.0,43036.3,2402.5
